id,category_l,category_s,length,fit
94,,니트웨어,노멀,오버사이즈
95,,니트웨어,롱,
96,,니트웨어,롱,타이트
97,,니트웨어,롱,노멀
98,,니트웨어,롱,루즈
99,,니트웨어,롱,오버사이즈
100,,셔츠,,
101,,셔츠,,타이트
102,,셔츠,,노멀
103,,셔츠,,루즈
104,,셔츠,,오버사이즈
105,,셔츠,크롭,
106,,셔츠,크롭,타이트
107,,셔츠,크롭,노멀
108,,셔츠,크롭,루즈
109,,셔츠,크롭,오버사이즈
110,,셔츠,노멀,
111,,셔츠,노멀,타이트
112,,셔츠,노멀,노멀
113,,셔츠,노멀,루즈
114,,셔츠,노멀,오버사이즈
115,,셔츠,롱,
116,,셔츠,롱,타이트
117,,셔츠,롱,노멀
118,,셔츠,롱,루즈
119,,셔츠,롱,오버사이즈
120,,브라탑,,
121,,브라탑,,타이트
122,,브라탑,,노멀
123,,브라탑,,루즈
124,,브라탑,,오버사이즈
125,,브라탑,크롭,
126,,브라탑,크롭,타이트
127,,브라탑,크롭,노멀
128,,브라탑,크롭,루즈
129,,브라탑,크롭,오버사이즈
130,,브라탑,노멀,
131,,브라탑,노멀,타이트
132,,브라탑,노멀,노멀
133,,브라탑,노멀,루즈
134,,브라탑,노멀,오버사이즈
135,,브라탑,롱,
136,,브라탑,롱,타이트
137,,브라탑,롱,노멀
138,,브라탑,롱,루즈
139,,브라탑,롱,오버사이즈
140,,후드티,,
141,,후드티,,타이트
142,,후드티,,노멀
143,,후드티,,루즈
144,,후드티,,오버사이즈
145,,후드티,크롭,
146,,후드티,크롭,타이트
147,,후드티,크롭,노멀
148,,후드티,크롭,루즈
149,,후드티,크롭,오버사이즈
150,,후드티,노멀,
151,,후드티,노멀,타이트
152,,후드티,노멀,노멀
153,,후드티,노멀,루즈
154,,후드티,노멀,오버사이즈
155,,후드티,롱,
156,,후드티,롱,타이트
157,,후드티,롱,노멀
158,,후드티,롱,루즈
159,,후드티,롱,오버사이즈
160,상의,,,
161,상의,,,스키니
162,상의,,,노멀
163,상의,,,와이드
164,상의,,,루즈
165,상의,,,벨보텀
166,상의,,미니,
167,상의,,미니,스키니
168,상의,,미니,노멀
169,상의,,미니,와이드
170,상의,,미니,루즈
171,상의,,미니,벨보텀
172,상의,,니렝스,
173,상의,,니렝스,스키니
174,상의,,니렝스,노멀
175,상의,,니렝스,와이드
176,상의,,니렝스,루즈
177,상의,,니렝스,벨보텀
178,상의,,미디,
179,상의,,미디,스키니
180,상의,,미디,노멀
181,상의,,미디,와이드
182,상의,,미디,루즈
183,상의,,미디,벨보텀
184,상의,,발목,
185,상의,,발목,스키니
186,상의,,발목,노멀
187,상의,,발목,와이드
188,상의,,발목,루즈
189,상의,,발목,벨보텀
190,상의,,맥시,
191,상의,,맥시,스키니
192,상의,,맥시,노멀
193,상의,,맥시,와이드
194,상의,,맥시,루즈
195,상의,,맥시,벨보텀
196,상의,청바지,,
197,상의,청바지,,스키니
198,상의,청바지,,노멀
199,상의,청바지,,와이드
200,상의,청바지,,루즈
201,상의,청바지,,벨보텀
202,상의,청바지,미니,
203,상의,청바지,미니,스키니
204,상의,청바지,미니,노멀
205,상의,청바지,미니,와이드
206,상의,청바지,미니,루즈
207,상의,청바지,미니,벨보텀
208,상의,청바지,니렝스,
